"appid","name","release_date","developer","publisher","positive_ratings","negative_ratings","average_playtime","median_playtime","price","total_ratings"
3910,"Sid Meier's Civilization® III Complete","2006-10-25","Firaxis Games","2K",2578,405,1166,13,2.99,2983
3920,"Sid Meier's Pirates!","2005-07-11","Firaxis Games","2K",2641,193,296,436,5.99,2834
3980,"CivCity: Rome","2007-04-06","FireFly Studios;Firaxis Games","2K",184,65,0,0,5.99,249
3990,"Civilization IV®: Warlords","2007-04-06","Firaxis Games","2K",121,20,0,0,2.99,141
4000,"Garry's Mod","2006-11-29","Facepunch Studios","Valve",363721,16433,12422,1875,6.99,380154
4230,"RACE - The WTCC Game","2006-11-24","SimBin","SimBin",119,43,0,0,25.99,162
4460,"City Life 2008","2008-09-29","Monte Cristo","Focus Home Interactive",77,41,0,0,6.99,118
4500,"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007-03-20","GSC Game World","GSC Game World",11039,570,493,360,9.99,11609
4520,"Full Spectrum Warrior","2007-07-17","Pandemic Studios","THQ Nordic",106,60,124,244,7.99,166
4530,"Full Spectrum Warrior: Ten Hammers","2007-07-17","Pandemic Studios","THQ Nordic",76,38,1,1,4.99,114
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","2007-08-07","Relic Entertainment","SEGA",3485,206,309,340,9.99,3691
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade","2007-08-07","Relic Entertainment","SEGA",2849,133,543,620,9.99,2982
4720,"Condemned: Criminal Origins","2012-10-29","Monolith","SEGA",1243,221,312,312,9.99,1464
4760,"Rome: Total War™ - Collection","2007-08-28","CREATIVE ASSEMBLY","SEGA",7806,562,897,1192,8.99,8368
4770,"Rome: Total War™ - Alexander","2007-08-28","The Creative Assembly","SEGA",331,131,33,33,8.99,462
4800,"Heroes of Annihilated Empires","2006-11-22","GSC Game World","GSC Game World",259,46,0,0,9.99,305
4850,"Cossacks: Back to War","2010-09-02","GSC Game World","GSC World Publishing",1081,143,1134,1208,3.99,1224
4870,"Cossacks: Art of War","2011-08-26","GSC Game World","GSC World Publishing",102,22,0,0,3.99,124
4880,"Cossacks: European Wars","2011-08-26","GSC Game World","GSC World Publishing",170,66,1,1,3.99,236
4890,"Cossacks II: Battle for Europe","2011-08-26","GSC Game World","GSC World Publishing",246,138,71,71,3.99,384
4920,"Natural Selection 2","2012-10-30","Unknown Worlds Entertainment","Unknown Worlds Entertainment",8372,1498,627,253,6.99,9870
6000,"STAR WARS™ Republic Commando™","2009-07-08","LucasArts","LucasArts;Lucasfilm;Disney Interactive",6392,379,369,265,7.19,6771
6010,"Indiana Jones® and the Fate of Atlantis™","2009-07-08","LucasArts","LucasArts;Lucasfilm;Disney Interactive",597,31,419,804,4.79,628
6020,"STAR WARS™ Jedi Knight - Jedi Academy™","2009-09-16","Raven Software;Aspyr (Mac)","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive",5684,330,1254,174,7.19,6014
6030,"STAR WARS™ Jedi Knight II - Jedi Outcast™","2009-09-16","Raven Software;Aspyr (Mac)","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive",2020,219,127,180,7.19,2239
6040,"The Dig®","2009-07-08","LucasArts","LucasArts",575,55,801,801,4.79,630
6060,"Star Wars: Battlefront 2 (Classic, 2005)","2009-07-08","Pandemic Studios","Lucasfilm;LucasArts;Disney Interactive",29149,2425,618,320,7.19,31574
6080,"Thrillville®: Off the Rails™","2009-07-08","Frontier","LucasArts",272,38,17,17,7.19,310
6090,"Armed and Dangerous®","2009-07-08","Planet Moon Studios","LucasArts;Lucasfilm;Disney Interactive",115,18,100,100,4.79,133
6120,"Shank","2010-10-25","Klei Entertainment","Klei Entertainment",1749,227,255,363,7.19,1976
6200,"Ghost Master®","2006-12-21","Sick Puppies","Strategy First",1025,164,21,21,3.99,1189
6210,"Vegas: Make It Big™","2006-12-21","Deepred","Strategy First",91,33,0,0,3.99,124
6220,"FlatOut","2007-02-02","Bugbear Entertainment","Strategy First",1977,186,78,96,4.99,2163
6250,"Making History: The Calm & the Storm","2007-03-13","Muzzy Lane","Strategy First",460,107,0,0,3.99,567
6270,"Ducati World Championship","2007-09-21","Artematica Entertainment","Strategy First",77,100,0,0,3.99,177
6300,"Dreamfall: The Longest Journey","2007-01-12","Funcom","Funcom",588,89,20,20,13.99,677
6310,"The Longest Journey","2007-05-01","Funcom","Funcom",1152,102,14,19,5.99,1254
6400,"Joint Task Force","2007-03-27","Most Wanted Entertainment","HD Publishing",100,15,0,0,5.79,115
6420,"Nexus - The Jupiter Incident","2007-07-03","Mithis Games;THQ Nordic","HandyGames",474,90,0,0,6.99,564
6510,"Lost Planet™: Extreme Condition","2007-06-29","CAPCOM Co., Ltd.","Capcom",569,178,74,74,9.99,747
6550,"Devil May Cry® 3 Special Edition","2007-06-12","CAPCOM Co., Ltd.","Capcom",1462,1052,90,90,15.99,2514
6800,"Commandos: Behind Enemy Lines","2007-03-15","Pyro Studios","Kalypso Media Digital",1561,213,63,70,3.99,1774
6810,"Commandos: Beyond the Call of Duty","2007-03-15","Pyro Studios","Kalypso Media Digital",404,71,12,14,3.99,475
6830,"Commandos 2: Men of Courage","2007-03-15","Pyro Studios","Kalypso Media Digital",1333,238,201,302,3.99,1571
6840,"Commandos 3: Destination Berlin","2007-03-15","Pyro Studios","Kalypso Media Digital",421,265,14,20,3.99,686
6850,"Hitman 2: Silent Assassin","2007-03-15","Io-Interactive A/S","Io-Interactive A/S",1514,260,63,58,8.29,1774
6860,"Hitman: Blood Money","2007-03-15","Io-Interactive A/S","Io-Interactive A/S",5864,391,435,365,9.29,6255
6870,"Battlestations: Midway","2007-03-15","Eidos Interactive","Square Enix",316,113,0,0,4.99,429
6880,"Just Cause","2007-03-15","Avalanche Studios","Square Enix",1732,846,20,25,4.99,2578
6900,"Hitman: Codename 47","2007-03-15","IO Interactive A/S","IO Interactive A/S",1186,450,62,43,7.19,1636
6910,"Deus Ex: Game of the Year Edition","2007-03-29","Ion Storm","Square Enix",6242,347,324,245,4.99,6589
6920,"Deus Ex: Invisible War","2007-03-29","Ion Storm","Square Enix",649,433,24,31,4.99,1082
6980,"Thief: Deadly Shadows","2007-03-29","Ion Storm","Square Enix",1135,210,254,368,6.99,1345
7000,"Tomb Raider: Legend","2007-03-29","Crystal Dynamics","Square Enix",1656,243,714,725,4.99,1899
7010,"Project: Snowblind","2007-03-29","Crystal Dynamics","Square Enix",175,61,0,0,3.99,236
7020,"Rogue Trooper","2007-03-29","Rebellion","Rebellion",248,15,0,0,6.99,263
7110,"Jade Empire™: Special Edition","2007-02-27","BioWare Corporation","BioWare Corporation;Electronic Arts",809,279,0,0,8.99,1088
7200,"Trackmania United Forever Star Edition","2008-04-16","Nadeo","Ubisoft",963,55,4774,4774,25.99,1018
7210,"Runaway, A Road Adventure","2007-03-14","Pendulo Studios","Focus Home Interactive",236,90,14,14,6.99,326
7220,"Runaway, The Dream of The Turtle","2007-03-14","Pendulo Studios","Focus Home Interactive",86,65,0,0,6.99,151
7260,"Loki","2007-10-05","Cyanide Studios","Focus Home Interactive",69,54,0,0,6.99,123
7510,"X-Blades","2009-04-30","Gaijin Entertainment","Topware Interactive",1566,981,313,341,6.99,2547
7520,"Two Worlds II HD","2011-02-03","Reality Pump Studios","Topware Interactive, ACE",3054,2051,327,403,14.99,5105
7530,"Two Worlds II Castle Defense","2011-06-14","Reality Pump Studios","Topware Interactive",153,194,320,330,6.99,347
7600,"Sid Meier's Railroads!","2007-05-04","Firaxis Games;Feral Interactive (Mac)","2K;Feral Interactive (Mac)",1114,570,165,253,5.99,1684
7610,"Railroad Tycoon 3","2007-05-04","PopTop","2K",355,153,46,46,5.99,508
7620,"Railroad Tycoon II Platinum","2007-05-04","PopTop","2K",420,82,1244,1261,2.99,502
7650,"X-COM: Terror From the Deep","2007-05-04","MicroProse Software, Inc","2K",385,32,66,82,2.99,417
7660,"X-COM: Apocalypse","2008-09-04","MicroProse Software, Inc","2K",417,53,18,18,2.99,470
7730,"X-COM: Interceptor","2008-09-04","MicroProse Software, Inc","2K",57,54,0,0,2.99,111
7760,"X-COM: UFO Defense","2008-09-04","MicroProse Software, Inc","2K",2165,136,2235,2224,2.99,2301
7770,"X-COM: Enforcer","2008-09-04","MicroProse Software, Inc","2K",146,138,0,0,2.99,284
7830,"Men of War™","2009-05-06","Best Way","1C Entertainment;1C-SoftClub",1664,257,0,0,3.99,1921
7860,"NecroVision","2009-05-20","The Farm 51","1C Entertainment",539,270,113,113,3.99,809
7940,"Call of Duty® 4: Modern Warfare®","2007-11-12","Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)",8725,821,1417,1503,19.99,9546
8000,"Tomb Raider: Anniversary","2007-06-05","Crystal Dynamics;Feral Interactive (Mac)","Square Enix;Feral Interactive (Mac)",1964,389,239,280,6.99,2353
8080,"Kane and Lynch: Dead Men™","2007-12-13","IO Interactive","Square Enix",1223,724,209,209,4.99,1947
8100,"Conflict: Denied Ops","2008-02-08","Pivotal Games","Square Enix",89,103,0,0,3.99,192
8140,"Tomb Raider: Underworld","2008-11-21","Crystal Dynamics","Square Enix",1779,594,313,565,6.99,2373
8170,"Battlestations Pacific","2009-05-13","Eidos Studio Hungary","Square Enix",1028,542,132,132,6.99,1570
8190,"Just Cause 2","2010-03-23","Avalanche Studios","Square Enix",33636,3231,519,272,9.99,36867
8330,"Telltale Texas Hold ‘Em","2008-06-17","Telltale Games","Telltale Games",69,77,0,0,1.99,146
8340,"Strong Bad's Cool Game for Attractive People: Season 1","2008-12-18","Telltale Games","Telltale Games",218,25,0,0,22.99,243
8400,"Geometry Wars: Retro Evolved","2007-06-18","Bizarre Creations","Activision",583,62,109,109,2.99,645
8600,"RACE 07","2007-10-15","SimBin","SimBin",1684,348,1636,218,2.49,2032
8790,"GTR 2 FIA GT Racing Game","2012-12-12","SimBin Studios AB","SimBin",174,16,0,0,4.99,190
8800,"Civilization IV: Beyond the Sword","2007-07-24","Firaxis Games","2K",1396,66,108,108,5.99,1462
8870,"BioShock Infinite","2013-03-25","Irrational Games;Aspyr (Mac);Virtual Programming (Linux)","2K;Aspyr (Mac)",79442,3846,614,519,19.99,83288
8880,"Freedom Force","2009-05-29","Irrational Games","2K",197,150,16,16,2.99,347
8890,"Freedom Force vs. the Third Reich","2009-05-29","Irrational Games","2K",121,28,23,23,2.99,149
8930,"Sid Meier's Civilization® V","2010-09-23","Firaxis Games;Aspyr (Mac);Aspyr (Linux)","2K;Aspyr (Mac);Aspyr (Linux)",129030,5565,4760,1797,19.99,134595
9000,"Spear of Destiny","2007-08-03","id Software","id Software",200,36,0,0,2.49,236
9010,"Return to Castle Wolfenstein","2007-08-03","Gray Matter Studios","Bethesda-Softworks",3084,276,32,48,3.99,3360
9030,"QUAKE Mission Pack 2: Dissolution of Eternity","2007-08-03","Rogue Entertainment","id Software",143,15,88,91,2.49,158
9040,"QUAKE Mission Pack 1: Scourge of Armagon","2007-08-03","Ritual Entertainment","id Software",205,13,129,152,2.49,218
9060,"HeXen II","2007-08-03","Raven Software","id Software",173,39,10,10,2.99,212
9180,"Commander Keen","2007-08-03","id Software","id Software",737,51,145,145,2.99,788
9200,"RAGE","2011-10-03","id Software","Bethesda Softworks",9394,2882,559,392,7.99,12276
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault","2007-08-07","Relic Entertainment","SEGA",606,76,213,365,9.99,682
9340,"Company of Heroes: Opposing Fronts","2007-09-24","Relic Entertainment","SEGA",579,52,79,106,9.99,631
9350,"Supreme Commander","2011-09-28","Gas Powered Games","Square Enix",1065,162,306,306,8.99,1227
9420,"Supreme Commander: Forged Alliance","2011-09-28","Gas Powered Games","Square Enix",4969,174,803,1067,8.99,5143
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm","2008-03-07","Relic Entertainment","SEGA",4887,286,1433,1629,9.99,5173
9460,"Frontlines™: Fuel of War™","2008-02-29","Kaos Studios","THQ Nordic",378,229,154,154,9.99,607
9480,"Saints Row 2","2009-01-07","Volition","Deep Silver",9442,2881,322,81,9.99,12323
9500,"Gish","2007-07-20","Cryptic Sea","Chronic Logic",160,94,23,23,5.99,254
9760,"Act of War: High Treason","2008-03-12","Eugen Systems","THQ Nordic",157,38,0,0,1.99,195
9800,"Death to Spies","2008-03-12","Haggard Games","1C Entertainment",428,145,64,84,3.99,573
9850,"Codename: Panzers - Cold War","2009-05-06","InnoGlow;Stormregion;THQ Nordic","THQ Nordic",82,56,0,0,13.99,138
9940,"Blade Kitten","2014-05-22","Krome Studios","Krome Studios",746,149,222,360,1.99,895
10090,"Call of Duty: World at War","2008-11-18","Treyarch","Activision",19595,1483,2331,1108,19.99,21078
10100,"King's Quest™ Collection","2009-07-23","Sierra","Activision",125,32,10,19,14.99,157
10110,"Space Quest™ Collection","2009-07-23","Sierra","Activision",143,42,10,10,9.99,185
10130,"TimeShift™","2009-07-23","Saber Interactive","Activision",623,159,0,0,9.99,782
10150,"Prototype™","2009-06-12","Radical Entertainment","Activision",3702,904,645,1001,14.99,4606
10180,"Call of Duty®: Modern Warfare® 2","2009-11-11","Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)",30006,2826,999,580,19.99,32832
10220,"Postal III","2012-02-17","Trashmasters","Akella",641,1101,411,411,8.99,1742
10270,"Disciples III: Reincarnation","2014-02-14","Akella","Kalypso Media Digital",618,252,889,889,9.99,870
10500,"Total War: EMPIRE – Definitive Edition","2009-03-04","CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)",14928,1719,3176,1385,19.99,16647
10680,"Aliens vs. Predator™","2010-02-16","Rebellion","SEGA",9448,1186,170,168,9.99,10634
11040,"Sherlock Holmes - Nemesis","2008-08-07","Frogwares","Frogwares",114,43,0,0,6.99,157
11050,"Dracula Origin","2008-08-07","Frogwares","Frogwares",94,45,0,0,6.99,139
11140,"Sherlock Holmes: The Awakened - Remastered Edition","2009-08-06","Frogwares","Frogwares",178,49,0,0,6.99,227
11150,"Sherlock Holmes: The Silver Earring","2009-08-06","Frogwares","Frogwares",98,54,0,0,6.99,152
11190,"Sherlock Holmes versus Jack the Ripper","2009-12-23","Frogwares","Frogwares",300,94,0,0,6.99,394
11200,"Shadowgrounds Survivor","2007-11-14","Frozenbyte","Frozenbyte",328,239,355,374,6.99,567
11230,"Gumboy Tournament","2008-05-19","CINEMAX, s.r.o.","CINEMAX, s.r.o.",351,142,46,49,1.79,493
11240,"Space Trader: Merchant Marine","2008-10-23","Meridian4","Meridian4",299,310,15,15,3.99,609
11260,"Pacific Storm Allies","2008-08-18","Lesta Studio","Buka Entertainment",78,56,0,0,5.59,134
11280,"Penguins Arena: Sedna's World","2008-12-18","Frogames","Frogames",902,129,91,97,4.79,1031
11330,"Obulis","2009-03-19","IonFX","Meridian4",586,130,41,69,3.99,716
11340,"Larva Mortus","2009-03-19","Meridian4","Meridian4",523,161,76,108,3.99,684
11360,"Chains","2009-07-01","2DEngine.com","Meridian4",433,148,36,36,3.99,581
11450,"Overlord™","2009-11-12","Triumph Studios;Virtual Programming","Codemasters",3439,276,304,304,3.49,3715
11480,"Soldiers: Heroes of World War II","2014-07-03","Best Way","1C Entertainment",273,61,0,0,3.99,334
11560,"Maelstrom: The Battle for Earth Begins","2009-02-13","KDV Games","Codemasters",69,44,0,0,3.49,113
11590,"Hospital Tycoon","2009-02-13","Deep Red Limited","Codemasters",175,301,119,176,3.49,476
12100,"Grand Theft Auto III","2008-01-04","Rockstar Games","Rockstar Games",4718,750,98,63,5.99,5468
12110,"Grand Theft Auto: Vice City","2011-01-10","Rockstar Games","Rockstar Games",9817,819,209,93,5.99,10636
12120,"Grand Theft Auto: San Andreas","2008-01-04","Rockstar Games","Rockstar Games",26877,3243,807,249,9.99,30120
12130,"Manhunt","2008-01-04","Rockstar North","Rockstar Games",816,433,99,101,5.99,1249
12140,"Max Payne","2008-01-04","Remedy Entertainment","Rockstar Games",3926,435,316,316,5.99,4361
12150,"Max Payne 2: The Fall of Max Payne","2008-01-04","Remedy Entertainment","Rockstar Games",2506,172,175,175,5.99,2678
12200,"Bully: Scholarship Edition","2008-10-21","Rockstar New England","Rockstar Games",8504,1764,319,225,9.99,10268
12210,"Grand Theft Auto IV","2008-12-02","Rockstar North;Rockstar Toronto","Rockstar Games",35240,18926,1255,634,19.99,54166
12220,"Grand Theft Auto: Episodes from Liberty City","2010-04-12","Rockstar North / Toronto","Rockstar Games",6401,2345,508,112,14.99,8746
12320,"Sacred Gold","2008-07-09","Ascaron Entertainment ltd.","Strategy First",1489,319,337,404,6.99,1808
12330,"Darkstar One","2008-02-13","Ascaron Entertainment ltd.","Strategy First",256,59,0,0,6.99,315
12360,"FlatOut: Ultimate Carnage","2008-08-26","Bugbear Entertainment","Strategy First",1967,394,37,71,16.99,2361
12430,"SlamIt Pinball Big Score","2009-02-23","Technetium Games","Kalypso Media Digital",31,69,2,2,3.99,100
12460,"BC Kings","2009-06-16","Mascot Entertainment","Strategy First",85,76,0,0,3.99,161
12470,"Port Royale 2","2009-06-16","Ascaron Entertainment ltd.","Strategy First",174,95,203,203,2.99,269
12480,"9th Company: Roots Of Terror","2009-12-03","Noviy Disk;Lesta Studios Inc","Strategy First",86,67,0,0,6.99,153
12500,"PuzzleQuest: Challenge of the Warlords","2008-01-29","Infinite Interactive","D3Publisher of America, Inc.",561,80,52,52,6.99,641
12510,"Prison Tycoon 3™: Lockdown","2008-01-29","Gamebryo;Virtual Playground","ValuSoft;Retroism",18,89,0,0,6.99,107
12520,"18 Wheels of Steel: American Long Haul","2008-01-29","SCS Software","ValuSoft;Play Hard Games",245,111,0,0,6.99,356
12640,"Drakensang","2009-03-09","Radon Labs","DTP Entertainment",238,72,0,0,6.99,310
12710,"Overlord™: Raising Hell","2009-11-12","Triumph Studios;Virtual Programming","Codemasters",946,75,446,256,6.99,1021
12770,"Rise of the Argonauts","2009-01-07","Liquid Entertainment","Codemasters",365,178,88,147,4.99,543
12790,"Damnation","2009-05-22","Blue Omega Entertainment","Codemasters",132,182,0,0,6.99,314
12810,"Overlord II","2009-06-24","Triumph Studios;Virtual Programming","Codemasters",2116,306,197,119,6.99,2422
12830,"Operation Flashpoint: Dragon Rising","2009-10-08","Codemasters Studios","Codemasters",1024,580,413,417,6.99,1604
13200,"Unreal 2: The Awakening","2008-03-17","Epic Games, Inc.","Epic Games, Inc.",240,100,682,682,8.99,340
13210,"Unreal Tournament 3 Black","2009-03-05","Epic Games, Inc.","Epic Games, Inc.",2414,278,542,239,13.99,2692
13230,"Unreal Tournament 2004: Editor's Choice Edition","2004-03-17","Epic Games, Inc.","Epic Games, Inc.",2211,66,414,496,8.99,2277
13240,"Unreal Tournament: Game of the Year Edition","2008-03-17","Epic Games, Inc.","Epic Games, Inc.",2134,65,565,924,5.99,2199
